Date,Tests,ConfirmedCases,Deaths
2020-01-08,1,0,
2020-01-09,1,0,
2020-01-10,1,0,
2020-01-11,1,0,
2020-01-12,1,0,
2020-01-13,1,0,
2020-01-14,1,0,
2020-01-15,1,0,
2020-01-16,1,0,
2020-01-17,3,0,
2020-01-18,3,0,
2020-01-19,3,0,
2020-01-20,3,0,
2020-01-21,3,0,
2020-01-22,3,0,
2020-01-23,3,0,
2020-01-24,3,0,
2020-01-25,3,0,
2020-01-26,3,0,
2020-01-27,3,0,
2020-01-28,3,0,
2020-01-29,3,0,
2020-01-30,4,0,
2020-01-31,4,0,
2020-02-01,5,0,
2020-02-02,5,0,
2020-02-03,5,0,
2020-02-04,6,1,
2020-02-05,6,1,
2020-02-06,6,1,
2020-02-07,6,1,
2020-02-08,6,1,
2020-02-09,6,1,
2020-02-10,6,1,
2020-02-11,6,1,
2020-02-12,6,1,
2020-02-13,9,1,
2020-02-14,10,1,
2020-02-15,10,1,
2020-02-16,10,1,
2020-02-17,11,1,
2020-02-18,11,1,
2020-02-19,11,1,
2020-02-20,12,1,
2020-02-21,13,2,
2020-02-22,13,2,
2020-02-23,23,4,
2020-02-24,23,4,
2020-02-25,23,4,
2020-02-26,23,4,
2020-02-27,23,4,
2020-02-28,24,4,0
2020-02-29,24,4,0
2020-03-01,27,5,0
2020-03-02,28,6,0
2020-03-03,29,6,0
2020-03-04,31,6,0
2020-03-05,31,6,0
2020-03-06,33,6,0
2020-03-07,33,6,0
2020-03-08,33,6,0
2020-03-09,33,6,0
2020-03-10,33,6,0
2020-03-11,37,6,0
2020-03-12,41,9,0
2020-03-13,45,10,0
2020-03-14,50,14,0
2020-03-15,56,20,0
2020-03-16,72,30,1
2020-03-17,1838,222,2
2020-03-18,2030,251,2
2020-03-19,2420,307,2
2020-03-20,2858,380,3
2020-03-21,3320,455,3
2020-03-22,3674,530,12
2020-03-23,4208,662,16
2020-03-24,4892,802,17
2020-03-25,5587,992,22
2020-03-26,6259,1170,28
2020-03-27,6878,1362,34
2020-03-28,7304,1529,38
2020-03-29,7780,1688,48
2020-03-30,8663,2031,62
2020-03-31,9446,2307,69
2020-04-01,10333,2633,98
2020-04-02,11188,2968,117
2020-04-03,12002,3297,141
2020-04-04,12678,3578,154
2020-04-05,13182,3801,166
2020-04-06,14012,4185,193
2020-04-07,14888,4568,212
2020-04-08,15820,4954,245
2020-04-09,16741,5345,286
2020-04-10,17495,5653,315
2020-04-11,18110,5901,351
2020-04-12,18686,6148,369
2020-04-13,19338,6419,384
2020-04-14,20110,6736,403
2020-04-15,21124,7096,463
2020-04-16,22149,7458,495
2020-04-17,23174,7782,506
2020-04-18,23945,8029,534
2020-04-19,24518,8206,575
2020-04-20,25003,8355,584
2020-04-21,25028,8358,609
2020-04-22,24305,8124,624
2020-04-23,25028,8358,641
